WO,Cargo Source,Bound,Commodity,Mode,Term,From,To,FCL_Tues,Air_Kg,LCL_Cbm,PP_CC,Profit
VOL18030015,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),London (UK),,140.00,,PP,118.00
VOL18100416 ,Nomination,Inbound,Auto Parts,Air,DDU,New Delhi (India),Ha Noi (Vietnam),,51.00,,PP,117.97
VOL18040305,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),"Chicago, IL (USA)",,49.50,,PP,117.60
VOL18050299,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Kansas City, MO (USA)",,,1.90,PP,117.20
VOL18090122,Nomination,Outbound,Bathroom Accessories,FCL,EXW,Ho Chi Minh (Vietnam),Nhava Sheva (India),1,,,PP,117.00
VOL18020399,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,1.58,PP,116.62
VOL18030170,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,115.00
VOL18030102,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,115.00
VOL18060055,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Valencia (Spain),4,,,CC,115.00
VOL18030181,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,115.00
VOL18030104,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,115.00
VOL18080532,Nomination,Inbound,Furniture,FCL,DDU,Shenzhen (China),Sihanoukville (Cambodia),2,,,PP,114.70
VOL18020312w/o 2: VOL18020368,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),Manchester (UK),,87.00,,PP,114.60
VOL18060437,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Semarang (Indonesia),2,,,PP,114.00
VOL18060332,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Semarang (Indonesia),2,,,PP,114.00
VOL18020238,Nomination,Outbound,Furniture,LCL,EXW,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",,,1.67,CC,114.00
VOL18090151,Nomination,Inbound,Marble,FCL,CIF/CNF,Istanbul (Turkey),Ho Chi Minh (Vietnam),1,,,PP,114.00
VOL18010414,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Hai Phong (Vietnam),"New York, NY (USA)",,,5.18,PP,113.96
VOL18040354,Free Hand,Domestics,Fak,FCL,Inland,Ho Chi Minh (Vietnam),Hai Phong (Vietnam),1,,,PP,113.64
"VOL18020314",Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),London (UK),,213.00,,PP,113.25
VOL18030036,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),1,,,PP,112.00
VOL18110244,Nomination,Outbound,Sporting Goods; Parts & Acessories,LCL,FOB,Ho Chi Minh (Vietnam),"Kansas City, MO (USA)",,,1.00,PP,112.00
VOL18110115,Nomination,Outbound,Granite Stone,FCL,FOB,Qui Nhon (Vietnam),Antalya (Turkey),2,,,CC,111.00
VOL18040324,Free Hand,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),1,,,PP,110.00
VOL18020580,Free Hand,Outbound,Construction Material,FCL,FOB,Hai Phong (Vietnam),Shantou (China),2,,,PP,110.00
VOL18070048,Nomination,Outbound,Cashew Nuts,FCL,FOB,Ho Chi Minh (Vietnam),Lianyungang (China),1,,,PP,109.27
VOL18030335,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Kansas City, MO (USA)",,,1.60,PP,109.20
VOL18110019,Nomination,Outbound,Footwear,LCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),,,7.00,PP,108.98
VOL18030514,Nomination,Outbound,Fak,LCL,EXW,Ho Chi Minh (Vietnam),Xiamen (China),,,1.00,PP,108.50
VOL18060250,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),"Detroit, MI (USA)",1,,,CC,108.50
VOL18050101,Nomination,Outbound,Garment/Textile,FCL,FOB,Hai Phong (Vietnam),Melbourne (Australia),1,,,PP,108.03
VOL18010566,Free Hand,Outbound,Fak,FCL,CIF/CNF,Hai Phong (Vietnam),"Dallas, TX (USA)",2,,,CC,108.00
VOL18070155,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),General Santos (Philippines),1,,,PP,107.37
VOL18090473,Free Hand,Inbound,Paper Product,Air,Inland,Inchon (South Korea),Ho Chi Minh (Vietnam),,167.00,,PP,107.30
VOL18070003,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,2.00,PP,107.00
VOL18090476,Nomination,Outbound,Bag and Luggage,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),2,,,PP,107.00
VOL18100132,Nomination,Outbound,Bag and Luggage,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),2,,,PP,107.00
VOL18060151,Nomination,Outbound,Garment/Textile,Air,FOB,Ho Chi Minh (Vietnam),Shanghai (China),,456.00,,PP,106.20
VOL18080476,Nomination,Inbound,Dried Mushroom,FCL,CIF/CNF,Qingdao (China),Hai Phong (Vietnam),2,,,PP,106.00
VOL18070547,Free Hand,Inbound,Paper Product,Air,Inland,Inchon (South Korea),Ho Chi Minh (Vietnam),,564.00,,PP,106.00
VOL18060414,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),St. Petersburg (Russia),2,,,CC,105.91
VOL18050292,Free Hand,Inbound,Fak,LCL,DDU,Shenzhen (China),Ho Chi Minh (Vietnam),,,1.20,PP,105.80
VOL18080399,Nomination,Outbound,Electrical Equipment,Air,FCA,Ha Noi (Vietnam),New Delhi (India),,13.50,,PP,105.50
VOL18110338 ,Nomination,Inbound,Electrical Equipment,Air,DDU,Shenzhen (China),Ha Noi (Vietnam),,340.00,,PP,105.50
VOL18020270,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Denver, CO (USA)",,,13.92,CC,105.48
VOL18040188,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Hong Kong (Hong Kong),,,1.80,PP,104.90
VOL18110325,Nomination,Outbound,Footwear,LCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,2.90,PP,104.90
VOL18060238,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),2,,,PP,104.00
VOL18090251,Nomination,Outbound,Bicycle Components,LCL,FOB,Hai Phong (Vietnam),Manzanillo (Mexico),,,9.87,CC,103.83
VOL18070478,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Semarang (Indonesia),1,,,PP,103.00
VOL18030748,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Ho Chi Minh (Vietnam),Shanghai (China),1,,,PP,102.73
VOL18010178,Nomination,Outbound,Fak,Air,EXW,Ho Chi Minh (Vietnam),Mumbai (India),,45.00,,PP,102.65
VOL18010665,Nomination,Outbound,Fabrics & Yarns,Air,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",,272.00,,PP,102.64
VOL18100065 ,Nomination,Outbound,Fashion Accessories,FCL,FOB,Ho Chi Minh (Vietnam),Fremantle (Australia),1,,,PP,102.37
VOL18080039,Nomination,Outbound,Electrical Equipment,FCL,FOB,Ho Chi Minh (Vietnam),Icd Dadri (India),1,,,PP,102.00
VOL18020253,Nomination,Outbound,Cashew Nuts,FCL,FOB,Ho Chi Minh (Vietnam),Lianyungang (China),1,,,PP,102.00
VOL18060543,Nomination,Outbound,Cashew Nuts,FCL,FOB,Ho Chi Minh (Vietnam),Lianyungang (China),1,,,PP,102.00
VOL18010300,Nomination,Outbound,Cashew Nuts,FCL,FOB,Ho Chi Minh (Vietnam),Lianyungang (China),1,,,CC,102.00
VOL18070409,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Icd Dadri (India),1,,,PP,102.00
VOL18040244,Nomination,Outbound,Cashew Nuts,FCL,FOB,Ho Chi Minh (Vietnam),Lianyungang (China),1,,,PP,102.00
VOL18050090,Nomination,Outbound,Cashew Nuts,FCL,FOB,Ho Chi Minh (Vietnam),Lianyungang (China),1,,,PP,102.00
VOL18030536,Nomination,Outbound,Cashew Nuts,FCL,FOB,Ho Chi Minh (Vietnam),Lianyungang (China),1,,,PP,102.00
VOL18090270,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,102.00
VOL18090428,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,CC,102.00
VOL18100607 ,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,102.00
VOL18110327 ,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,102.00
VOL18060501,Nomination,Outbound,Fashion Accessories,Air,FOB,Ho Chi Minh (Vietnam),Lyon (France),,45.00,,PP,101.95
VOL18030152,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Denver, CO (USA)",,,19.04,CC,101.16
VOL18030725,Free Hand,Inbound,Fak,LCL,DDU,Shenzhen (China),Ho Chi Minh (Vietnam),,,1.00,PP,101.04
VOL18110002,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,101.00
VOL18080280,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,1.52,PP,100.66
"VOL18020318",Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),London (UK),,184.00,,PP,100.60
VOL18020073,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),1,,,PP,100.00
VOL18020072,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),1,,,PP,100.00
VOL18020256+VOL18020267+VOL18030277,Nomination,Inbound,Machinery,FCL,DDU,Shanghai (China),Ho Chi Minh (Vietnam),1,,,CC,99.63
VOL18090216,Free Hand,Inbound,PVC Edge Banding,LCL,CIF/CNF,Shenzhen (China),Ho Chi Minh (Vietnam),,,2.71,PP,98.86
VOL18080030,Nomination,Outbound,Rice,Air,EXW,Phnom Penh (Cambodia),Amsterdam (Netherlands),,979.00,,CC,98.75
VOL18040473,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Icd Tughlakabad (India),,,6.50,CC,98.50
VOL18030745,Nomination,Outbound,Fashion Accessories,Air,EXW,Ho Chi Minh (Vietnam),Shanghai (China),,80.00,,PP,98.44
VOL18050457,Free Hand,Inbound,Fak,LCL,DDU,Keelung (Taiwan),Ho Chi Minh (Vietnam),,,1.08,PP,98.42
VOL18030263,Free Hand,Inbound,Lubricant,LCL,Door Delivery,Hamburg (Germany),Ho Chi Minh (Vietnam),,,9.42,PP,98.22
VOL18110040,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,1.12,PP,98.03
VOL18070372,Free Hand,Inbound,Paper Product,Air,Inland,Inchon (South Korea),Ho Chi Minh (Vietnam),,112.00,,PP,97.80
VOL18020311w/o2: VOL18020367,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),Manchester (UK),,78.00,,PP,97.40
VOL18050466,Free Hand,Outbound,Frozen Seafood,FCL,EXW,Ho Chi Minh (Vietnam),Port Klang (Malaysia),2,,,PP,97.14
VOL18070382,Nomination,Inbound,Electrical Equipment,Air,DAP,"Atlanta, GA (USA)",Ho Chi Minh (Vietnam),,81.00,,PP,97.10
VOL18020114,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),"New York, NY (USA)",,,17.40,PP,97.00
VOL18040419,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),,,6.70,CC,96.90
VOL18090524,Nomination,Outbound,Woodenware,FCL,FOB,Ho Chi Minh (Vietnam),Shimizu (Japan),1,,,PP,96.52
VOL18040205,Nomination,Outbound,Hardware,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),2,,,CC,96.50
VOL18050235,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),2,,,PP,95.00
VOL18050356,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),2,,,PP,95.00
VOL18010334,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,95.00
VOL18030545,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Um Qasr (Iraq),1,,,PP,95.00
VOL18010729,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),2,,,PP,95.00
VOL18020301,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Toronto (Canada),2,,,CC,94.00
VOL18020305,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Toronto (Canada),2,,,CC,94.00
VOL18070484,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),1,,,PP,94.00
VOL18070152,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),1,,,PP,94.00
VOL18040092,Nomination,Inbound,Fak,Air,CIF/CNF,Frankfurt (Germany),Ho Chi Minh (Vietnam),,341.00,,PP,93.46
VOL18100489,Nomination,Outbound,Kitchenware,Air,FOB,Ho Chi Minh (Vietnam),Mumbai (India),,166.00,,PP,93.40
VOL18070231,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,93.00
VOL18060436,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,93.00
VOL18020161,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),London (UK),,81.00,,PP,91.45
VOL18080307,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),1,,,PP,91.00
VOL18080435,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,91.00
VOL18080433,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,91.00
VOL18080550,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),1,,,PP,91.00
VOL18110180,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),1,,,PP,91.00
VOL18050390,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,90.84
VOL18070034,Nomination,Outbound,Plastic Goods,FCL,FOB,Hai Phong (Vietnam),Singapore (Singapore),1,,,PP,90.40
VOL18020577,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Denver, CO (USA)",,,17.01,CC,90.15
VOL18040001,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Hong Kong (Hong Kong),,,1.30,PP,89.65
VOL18050177,Nomination,Outbound,Garment/Textile,FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,88.77
VOL18060554,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,88.50
VOL18040517,Nomination,Inbound,Kitchenware,FCL,DDP,Shenzhen (China),Sihanoukville (Cambodia),2,,,PP,88.27
VOL18060619,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Cleveland, OH (USA)",2,,,CC,88.20
VOL18070109,Nomination,Outbound,Cosmetics,Courier,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),,26.00,,PP,87.98
VOL18110310,Nomination,Outbound,Shoes,LCL,FOB,Hai Phong (Vietnam),Bangkok (Thailand),,,2.26,PP,86.98
VOL18020120 + VOL18020331,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,2.22,PP,86.58
VOL18010266,Free Hand,Inbound,Paper Product,LCL,FOB,Busan (South Korea),Ho Chi Minh (Vietnam),,,2.20,PP,86.50
VOL18070422,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Fos Sur Mer (France),2,,,CC,86.28
VOL18010667,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),Manchester (UK),,86.10,,PP,86.10
VOL18060257,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Icd Dadri (India),1,,,PP,86.00
VOL18060339,Nomination,Outbound,Bathroom Accessories,FCL,EXW,Ho Chi Minh (Vietnam),Nhava Sheva (India),2,,,PP,86.00
VOL18080355,Nomination,Outbound,Footwear,FCL,FOB,Hai Phong (Vietnam),Kolkata/Calcutta (India),2,,,PP,86.00
VOL18100490 ,Nomination,Outbound,Batteries,FCL,FOB,Ho Chi Minh (Vietnam),Paranagua (Brazil),1,,,CC,85.53
VOL18050378,Nomination,Outbound,Plastic Goods,FCL,FOB,Hai Phong (Vietnam),Singapore (Singapore),1,,,PP,85.00
VOL18010719,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),2,,,CC,85.00
VOL18040558,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),1,,,PP,85.00
VOL18070169,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),2,,,CC,85.00
VOL18060575,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),2,,,CC,85.00
VOL18060293,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),2,,,CC,85.00
VOL18030606,Nomination,Outbound,Hardware,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),2,,,CC,85.00
"VOL18060530
",Nomination,Outbound,Fabrics & Yarns,Air,FOB,Ho Chi Minh (Vietnam),Cairo (Egypt),,112.00,,PP,84.50
VOL18070526,Free Hand,Outbound,Woodenware,FCL,FOB,Ho Chi Minh (Vietnam),Sihanoukville (Cambodia),2,,,PP,84.30
VOL18010091,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Jebel Ali (UAE),2,,,PP,84.00
VOL18050257,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Icd Dadri (India),1,,,PP,83.00
VOL18010617/VOL18010641,Free Hand,Inbound,Fak,Air,DDU,Shenzhen (China),Ho Chi Minh (Vietnam),,45.00,,PP,82.09
VOL18050296,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),"Detroit, MI (USA)",1,,,CC,81.70
VOL18060061,Nomination,Outbound,Cashew Nuts,FCL,FOB,Ho Chi Minh (Vietnam),Lianyungang (China),1,,,CC,81.50
VOL18060166,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Chennai (India),,,34.30,CC,81.45
VOL18030410,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Kolkata/Calcutta (India),1,,,PP,81.00
VOL18010437,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Hai Phong (Vietnam),Shanghai (China),,,1.62,PP,80.95
VOL18010214,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Shekou (China),2,,,PP,80.45
VOL18050408,Nomination,Outbound,Auto Parts,LCL,FOB,Ho Chi Minh (Vietnam),Valparaiso (Chile),,,4.20,CC,80.00
VOL18040197,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Icd Tughlakabad (India),2,,,PP,80.00
VOL18020121,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Toronto (Canada),2,,,CC,80.00
VOL18080254,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Cleveland, OH (USA)",2,,,CC,80.00
VOL18090429,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Cleveland, OH (USA)",2,,,CC,80.00
VOL18050264,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Cochin (India),2,,,PP,79.50
VOL18050547,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,1.50,PP,79.20
VOL18100223 ,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Fos Sur Mer (France),2,,,CC,79.08
VOL18070418,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Shimizu (Japan),1,,,PP,79.00
VOL18060216,Nomination,Outbound,Hardware,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),1,,,CC,78.91
VOL18030803,Nomination,Outbound,Bag and Luggage,Air,FOB,Ha Noi (Vietnam),Male (Maldives),,117.50,,PP,78.60
VOL18100569 ,Nomination,Outbound,Carbonate Power,FCL,FOB,Hai Phong (Vietnam),Chennai (India),5,,,PP,78.50
VOL18060440,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,78.00
VOL18060195,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,78.00
VOL18060579,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,78.00
VOL18100263 ,Nomination,Outbound,Cashew Nuts,FCL,FOB,Ho Chi Minh (Vietnam),Valencia (Spain),1,,,CC,78.00
VOL18010640,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Pipavav (India),1,,,PP,77.50
VOL18030476,Free Hand,Inbound,Fak,LCL,FOB,Bangkok (Thailand),Ho Chi Minh (Vietnam),,,6.11,PP,76.71
VOL18110001,Nomination,Outbound,Plastic Goods,FCL,FOB,Hai Phong (Vietnam),Singapore (Singapore),1,,,PP,76.50
VOL18110085,Nomination,Outbound,Towel,Air,FOB,Ho Chi Minh (Vietnam),Geneva (Switzerland),,45.00,,PP,76.50
VOL18080124,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Shimizu (Japan),1,,,PP,76.00
VOL18090046,Nomination,Outbound,Steel Screw,FCL,FOB,Ho Chi Minh (Vietnam),"Detroit, MI (USA)",2,,,CC,76.00
VOL18060240,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Auckland (New Zealand),,,6.80,CC,75.80
VOL18010361 + VOL18010678,Free Hand,Inbound,Paper Product,Air,FOB,Inchon (South Korea),Ho Chi Minh (Vietnam),,334.00,,PP,75.59
VOL18110038,Free Hand,Inbound,Acrylic Mirror,LCL,FOB,Shenzhen (China),Ho Chi Minh (Vietnam),,,3.16,PP,75.53
VOL18110460,Nomination,Outbound,Plastic Goods,FCL,FOB,Hai Phong (Vietnam),Singapore (Singapore),1,,,PP,75.50
VOL18090170,Free Hand,Outbound,Electrical Equipment,Air,FOB,Ho Chi Minh (Vietnam),Inchon (South Korea),,25.00,,PP,75.45
VOL18050061,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Auckland (New Zealand),,,6.70,CC,75.20
VOL18030589,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Port Said (Egypt),,,3.00,CC,75.00
VOL18010112,Nomination,Outbound,Footwear,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),2,,,CC,75.00
VOL18040143,Nomination,Outbound,Ceramics & Stoneware,FCL,FOB,Ho Chi Minh (Vietnam),Jebel Ali (UAE),2,,,PP,75.00
VOL18020255,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Colombo (Sri Lanka),3,,,PP,75.00
VOL18060275,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),1,,,PP,75.00
VOL18050049,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,75.00
VOL18040056,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,75.00
VOL18050397,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Nhava Sheva (India),2,,,PP,75.00
VOL18010754,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,75.00
VOL18060316,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Xiamen (China),6,,,CC,75.00
VOL18010757,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,75.00
VOL18060467,Nomination,Outbound,Dangerous Cargo,FCL,FOB,Ho Chi Minh (Vietnam),San Antonio (Usa),1,,,CC,75.00
VOL18040425,Nomination,Outbound,Bag and Luggage,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),2,,,PP,75.00
VOL18040435,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Icd Tughlakabad (India),,,4.20,CC,74.40
VOL18040469,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Toronto (Canada),2,,,CC,74.00
VOL18050283,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Toronto (Canada),2,,,CC,74.00
VOL18060338,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Toronto (Canada),2,,,CC,74.00
VOL18050054,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Toronto (Canada),2,,,CC,74.00
VOL18040335,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Toronto (Canada),2,,,CC,74.00
VOL18030082,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Toronto (Canada),2,,,CC,74.00
VOL18020044,Nomination,Outbound,Fak,FCL,FOB,Busan (South Korea),Ho Chi Minh (Vietnam),1,,,PP,73.53
VOL18060012,Free Hand,Inbound,Fak,FCL,CIF/CNF,Busan (South Korea),Ho Chi Minh (Vietnam),1,,,PP,73.53
VOL18110461,Nomination,Inbound,Machinery,Air,FOB,Bologna (Italy),Ho Chi Minh (Vietnam),,36.00,,PP,62.50
